HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
"101 (Scot, Wales, NI)",101 (Eng),,BBC One,4 national HD & 17 regional SD variations (Virgin unavailable in CI or ScotB),?,?,BBC,24 hours,Player,,
108 (Eng),,,,On-demand,,,,,,,
250,,258,Discovery,,16,1602,"Discovery, Inc",24 hours,Full House,,Full House
251,,259,Animal Planet,,20-May,2004/502,"Discovery, Inc",24 hours,Full House,,Full House
,252,260,Discovery Science,,03-May,308/503,"Discovery, Inc",24 hours,,Full House,
,256,,Discovery Turbo,,3,309,"Discovery, Inc",24 hours,,Full House,
,257,261,Discovery History,,03-May,306/505,"Discovery, Inc",24 hours,,Full House,
265,,,Nat Geo Wild,,24,2402,NGC-UK Partnership (National Geographic Society/Disney Channels Worldwide),08:00–05:00,Full House,,
268,266,267,National Geographic Channel,,30/03/2003,3002/317/318,NGC-UK Partnership (National Geographic Society/Disney Channels Worldwide),08:00–05:00,Full House,,
,,,,,,,,,,,
,,,,,,,,,,,
,269,,Together,,2,219,Community Channel,24 hours,,Player,
270,,271,Sky History,,16-Mar,1606/321,A&E Networks UK (A&E Networks/Sky UK Ltd),24 hours,Full House,,Full House
272,,,Sky History2,,27,2704,A&E Networks UK (A&E Networks/Sky UK Ltd),08:00–05:00,Full House,,
,273,,PBS America,,10,1012,PBS UK LLC,24 hours,,Player,
,274,,Forces TV,,11,1104,Services Sound & Vision Corporation,24 hours,,Player,
276,,,Smithsonian Channel,,17,1707,SNI/SI Networks LLC,24 hours,Player,,
277,278,,Sky Documentaries,,"20, 5","2006, 522",Sky UK Ltd,24 hours,Full House,Player,
279,280,,Sky Nature,,"25, 24","2507, 416",Sky UK Ltd,24 hours,Full House,Player,
Lifestyle,,,,,,,,,,,
,285,,Food Network,,10,1011,"Discovery, Inc",06:00–03:00,,Player,
,286,290,HGTV,,02-Mar,208/310,"Discovery, Inc",07:00–04:00,,Player,
,292,,God Channel,,6,606,The Angel Foundation,24 hours,,Player,
997,,,Get Moving,,13,1306,Virgin Media (Liberty Global),24 hours (Mon–Fri),Player,,
,,,,,,,,,,,
Music,,,,,,,,,,,
,,,,,,,,,,,
HD,SD,1,Channel name,Notes,TSID,SID,Owner/parent company,Broadcast hours,Package HD,Package SD,Package +1
